UID	Weight_g	Length_mm	Width_mm	Height_mm	boxID	sex	Viscera_wt	fillet_wt_g	OBS	Notes
2024-10-14_0086	995	39.5	65	86	4	M	132.5	623	T	DEFORM
2024-10-14_0087	1092	43	60	93	4	M	102	696	O	
2024-10-14_0088	1307	45	66	99	4	M	134	828	T	
2024-10-14_0089	929	42.3	59	86	4	M	50	602	O	
2024-10-14_0090	966	41.5	60	85	4	M	104	606	T	
2024-10-14_0091	670	39	45	71	4	M	28	418	O	DEFORM
2024-10-14_0093	839	41.5	55	82	4	M	60	534	O	
2024-10-14_0094	637	36.5	47	69	4	M	44	411	T	
2024-10-14_0098	812	40	52	78	4	M	84	513	T	
2024-10-14_0100	1119	42	68	93	4	M	133	696	T	
2024-10-14_0104	608	37.5	44	67	4	M	32	396	T	DEFORM
2024-10-15_0001	1582	50	65	103	5	M	155	1014	T	
2024-10-15_0002	1416	47.5	64	97	5	M	152	830	S	
2024-10-15_0003	1677	48	69	112	5	M	155.5	1003	T	
2024-10-15_0004	1372	44	70	105	5	M	116.5	889	T	DEFORMED
2024-10-15_0005	1401	46	68	105	5	M	156	814	S	
2024-10-15_0006	1430	46.5	76	102	5	M	148.3	907.5	T	
2024-10-15_0007	1434	47.5	69	100	5	M	132	884	S	
2024-10-15_0009	1289	44.5	70	97	5	M	114	828		
2024-10-15_0010	1133	45	60	92	5	M	73	745	T	DEFORMED
2024-10-15_0011	1397	48	66	101	5	M	135	897	T	
2024-10-15_0012	1650	46	78	117	5	M	206	970	S	DEFORMED
2024-10-15_0013	1333	46	64	96	5	M	123.6	860	T	
2024-10-15_0015	1510	44	73	103	5	M	164	932	T	DEFORMED
2024-10-15_0016	1918	49.5	79	115	5	M	225	1220	T	
2024-10-15_0017	1248	45	65	96	5	M	108	770	S	
2024-10-15_0018	1579	49.5	74	101	5	M	147	1002	T	
2024-10-15_0019	1168	45.5	63	94	5	M	78	726	S	
2024-10-15_0021	1381	46.5	66	98	5	M	122	882	T	
2024-10-15_0022	1717	51	71	110	5	M	192	1044	S	
2024-10-15_0023	1936	48.5	81	116	5	M	243	1120	T	DEFORMED
2024-10-15_0024	1508	48	68	99	5	M	161	972.5	T	DEFORMED
2024-10-15_0026	1630	48.6	66	104	5	M	150.5	1050	T	DEFORMED
2024-10-15_0027	1441	48.5	67	100	5	M	140	884	S	
2024-10-15_0028	1057	45.2	55	85	5	M	64	693	T	
2024-10-15_0029	1023	43	56	80	5	M	78	626	S	
2024-10-15_0030	1477	50	72	101	5	M	125.5	947	T	
2024-10-15_0031	1873	51	78	116	5	M	210	1142	S	
2024-10-15_0033	1242	46.5	68	95	5	M	98	780	S	DEFORM
2024-10-15_0034	1565	48	68	104	5	M	136.5	1017	T	
2024-10-15_0036	1757	50.5	80	120	5	M	160	1082	S	
2024-10-15_0038	1158	44.5	62	94	5	M	86	738	S	
2024-10-15_0039	1350	48.5	60	96	5	M	94	907	T	
2024-10-15_0040	1045	45.5	56	86	5	M	80	664	S	
2024-10-15_0041	1141	43.2	62	85	5	M	90	732	T	
2024-10-15_0042	1528	49	67	91	5	M	150	995	T	
2024-10-15_0043	1512	48.5	70	101	5	M	148	938	S	
2024-10-15_0044	1041	45.7	60	84	5	M	79	682	T	
2024-10-15_0045	1822	51	75	110	5	M	216	1076	S	
2024-10-15_0046	1483	48.5	70	105	5	M	187	896	T	DEFORM
2024-10-15_0047	1561	48.5	67	98	5	M	132	996	S	
2024-10-15_0048	1605	48.5	66	100	5	M	132	1018	S	
2024-10-15_0049	1418	44	73	106	5	M	166	842	S	
2024-10-15_0050	1417	49.5	66	104	5	M	120	918	T	
2024-10-15_0052	1390	48.2	64	92	5	M	130	866	S	
2024-10-15_0053	1166	44	64	91	5	M	120	760.5	T	
2024-10-15_0055	1141	46	65	87	5	M	76	732	S	
2024-10-15_0056	1692	46.5	72	108	5	M	220	982.5	T	DEFORMED
2024-10-15_0057	1202	46	65	89	5	M	76	762	S	
2024-10-15_0058	1400	47	65	99	5	M	108	889	T	
2024-10-15_0059	1276	45	64	92	5	M	84	822	S	
2024-10-15_0060	1220	43.9	69	97	5	M	100.6	788	T	DEFORMED
2024-10-15_0061	1094	44.7	59	82	5	M	88	674	S	DEFORMED
2024-10-15_0062	1100	41.7	58	91	5	M	89.5	714	T	
2024-10-15_0063	988	44	58	85	5	M	58	614	S	DEFORMED
2024-10-15_0064	1665	50	70	106	5	M	184.5	1069	T	
2024-10-15_0066	1348	47	64	95	5	M	81	913	T	
2024-10-15_0067	1142	45	62	91	5	M	89	764	T	
2024-10-15_0068	1620	49	80	104	5	M	180	1027	T	DEFORMED
2024-10-15_0069	1101	44.5	62	87	5	M	74	702	S	DEFORMED
2024-10-15_0070	1480	47	67	103	5	M	143	957	T	DEFORMED
2024-10-15_0072	1382	47.3	65	100	5	M	136	881	T	DEFORMED
2024-10-15_0073	1357	47	62	97	5	M	106.5	881	T	
2024-10-15_0074	1326	46	65	93	5	M	124	812	S	
2024-10-15_0076	1140	45.5	65	91	5	M	101	740	T	
2024-10-15_0080	1405	45.7	67	104	5	M	124	876	S	
2024-10-15_0081	1395	47	67	97	5	M	119.5	914	T	
2024-10-15_0082	1500	46.3	72	101	5	M	165	958	T	
2024-10-15_0083	1459	46.7	73	103	5	M	146	886	S	
2024-10-15_0084	1028	46	58	82		M	67	658	T	
2024-10-15_0085	925	42.2	54	81		M	48	582	S	
2024-10-15_0086	1531	45.5	67	100		M	119	1004	T	DEFORMED
2024-10-15_0087	1295	47.2	64	93		M	102	810	S	
2024-10-15_0088	1241	45.2	62	89		M	104.5	799	T	
2024-10-15_0089	1170	44.7	59	89		M	73	768	T	
2024-10-15_0090	1523	48	70	102		M	123	1013	T	
2024-10-15_0091	1838	51.2	75	109		M	196	1142	S	
2024-10-15_0092	1270	43.5	87	99		M	151	763	T	DEFORMED
2024-10-15_0093	1230	46.5	65	85		M	97.5	802	T	
2024-10-15_0094	1699	50	71	105		M	152	1080	S	
2024-10-15_0095	1321	45.5	63	96		M	135.5	828	T	
2024-10-15_0096	1231	46	63	95		M	113	787	T	
2024-10-15_0097	1223	46.5	62	90		M	82	810	T	
2024-10-15_0098	1248	47.8	62	94		M	109	800	T	
2024-10-15_0099	1437	48.5	64	97		M	150	878	S	
2024-10-14_0077	512	35.5	45	64	3	M	41	306	T	DEFORMITY
